GEO_ID,NAME,S0101_C01_001E,S0101_C01_002E,S0101_C01_020E,S0101_C01_021E,S0101_C01_022E,S0101_C01_022E,S0101_C01_007E,S0101_C01_008E,,S0101_C01_028E,S0101_C02_001E,S0101_C02_002E,S0101_C02_020E,S0101_C02_021E,S0101_C02_022E,S0101_C02_007E,S0101_C02_008E,,S0101_C02_028E,S0101_C03_001E,S0101_C03_002E,S0101_C03_020E,S0101_C03_021E,S0101_C03_022E,S0101_C03_007E,S0101_C03_008E,,S0101_C03_028E
Geography,Geographic Area Name,Total!!Estimate!!Total population,Total!!Estimate!!AGE!!Under 5 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Total!!Estimate!!AGE!!25 to 29 years,Total!!Estimate!!AGE!!30 to 34 years,,Total!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over,Male!!Estimate!!Total population,Male!!Estimate!!AGE!!Under 5 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Male!!Estimate!!AGE!!25 to 29 years,Male!!Estimate!!AGE!!30 to 34 years,,Male!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over,Female!!Estimate!!Total population,Female!!Estimate!!AGE!!Under 5 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Female!!Estimate!!AGE!!25 to 29 years,Female!!Estimate!!AGE!!30 to 34 years,,Female!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over
0400000US50,Vermont,626249,30060,68261,23171,67009,10.7,5.7,5.7,,106462,308711,15744,35193,11731,11.2,5.9,5.8,,48159,317538,14607,33024,11431,10.3,5.6,5.7,,57792
0400000US51,Virginia,8310301,506928,1038788,315791,822720,9.9,7,6.9,,1146822,4086283,261522,531217,159365,10.4,7.2,7,,502613,4224018,249217,511106,152065,9.4,6.8,6.8,,642051
0400000US53,Washington,7073146,445608,891216,268780,664876,9.4,7.3,7.2,,990240,3529431,229413,455297,137648,9.8,7.5,7.3,,451767,3543715,219710,435877,131117,9,7.1,7,,542188
0400000US54,West Virginia,1846092,101535,212301,66459,169840,9.2,5.9,6,,328604,912270,51999,108560,33754,9.5,6.1,6.1,,146875,933822,49493,103654,31750,8.8,5.7,5.8,,181161
0400000US55,Wisconsin,5754798,339533,736614,224437,563970,9.8,6.2,6.4,,874729,2859055,174402,377395,114362,10,6.4,6.6,,391691,2895743,165057,359072,110038,9.5,6,6.3,,483589
0400000US56,Wyoming,583029,37897,78709,22155,57137,9.8,7,7,,80458,297691,19350,40784,11610,10.2,7.1,7.1,,38104,285338,18547,37950,10272,9.4,6.8,6.9,,42515
0400000US72,Puerto Rico,3529385,183528,434114,148234,356468,10.1,6.4,6.2,,614113,1685787,94404,224210,75860,10.7,6.6,6.2,,266354,1843598,90336,212014,71900,9.6,6.2,6.2,,346596
0500000US01001,"Autauga County, Alabama",55049,3193,8037,2642,4734,8.6,6.3,5.9,,7707,26877,1693,4112,1317,9.4,6,6,,3333,28172,1493,3944,1296,7.8,6.6,5.9,,4367
0500000US01003,"Baldwin County, Alabama",199510,11372,25138,7781,15362,7.7,5.6,5.7,,37308,97371,5842,12561,4090,7.9,5.8,5.8,,17429,102139,5516,12461,3677,7.4,5.4,5.6,,19917
0500000US01005,"Barbour County, Alabama",26614,1464,3300,958,2502,9.4,6.8,7,,4391,14239,740,1680,513,10.6,7.2,8.1,,1894,12375,730,1621,446,7.9,6.2,5.6,,2500
0500000US01007,"Bibb County, Alabama",22572,1151,2686,903,2077,9.2,7.1,6.7,,3363,12084,471,1450,568,9.3,8.3,7.7,,1450,10488,682,1238,346,9,5.7,5.5,,1919
0500000US01009,"Blount County, Alabama",57704,3520,7675,2424,4616,8,5.6,5.9,,9925,28572,1829,3857,1229,8.6,5.7,6.1,,4429,29132,1690,3845,1165,7.5,5.6,5.8,,5506
0500000US01011,"Bullock County, Alabama",10552,633,1266,380,950,9,7.4,5,,1593,5719,337,646,172,8.3,8.7,4.6,,669,4833,290,619,208,9.8,5.9,5.4,,928
0500000US01013,"Butler County, Alabama",20280,1217,2677,831,1602,7.9,5.8,6.2,,3671,9522,619,1419,428,8.3,5.8,6.3,,1514,10758,592,1259,409,7.5,5.9,6.1,,2162
0500000US01015,"Calhoun County, Alabama",115883,6489,14485,4635,11588,10,6.7,6.1,,18425,55742,3233,7469,2397,10.4,6.7,6.1,,7804,60141,3308,7036,2225,9.6,6.6,6,,10645
0500000US01017,"Chambers County, Alabama",34018,2041,3946,1293,2892,8.5,6,5.6,,6259,16299,1027,2021,668,8.8,6.4,5.5,,2624,17719,1028,1914,638,8.2,5.7,5.7,,3632
0500000US01019,"Cherokee County, Alabama",25897,1269,3082,984,1865,7.2,4.9,4.6,,5257,12883,709,1507,515,7.6,4.8,4.4,,2396,13014,547,1575,469,6.9,5,4.8,,2863
0500000US01021,"Chilton County, Alabama",43817,2848,5915,1796,3505,8,6.7,6.6,,6660,21559,1488,2997,905,8,6.9,6.3,,3018,22258,1380,2938,868,7.9,6.5,6.9,,3673
0500000US01023,"Choctaw County, Alabama",13287,651,1581,531,1076,8.1,4.5,5.2,,2750,6349,317,838,267,8.3,4.9,5,,1206,6938,326,742,271,8,4.2,5.3,,1547
0500000US01025,"Clarke County, Alabama",24847,1367,3131,1118,2211,8.9,5.1,5.5,,4497,11738,681,1573,540,9.4,5.2,5.4,,1949,13109,682,1573,577,8.4,5,5.6,,2543
0500000US01027,"Clay County, Alabama",13483,674,1672,566,1119,8.3,4.9,4.5,,2616,6532,340,856,300,8.2,4.5,3.7,,1195,6951,341,820,264,8.5,5.3,5.2,,1425
0500000US01029,"Cleburne County, Alabama",14991,914,2039,570,1109,7.4,5.3,5.4,,2728,7423,497,1054,282,7.5,5.3,5.4,,1210,7568,416,984,288,7.2,5.3,5.5,,1514
0500000US01031,"Coffee County, Alabama",50991,3161,6782,2193,4232,8.3,6.4,6.2,,8057,25210,1639,3479,1084,8.5,6.9,6.6,,3529,25781,1521,3300,1109,8.2,5.9,5.9,,4512
0500000US01033,"Colbert County, Alabama",54377,3099,6525,2121,4350,8,6,5.9,,10060,26271,1550,3389,1156,8.2,6,5.9,,4282,28106,1546,3148,956,7.9,6,5.9,,5734
