GEO_ID,NAME,S0101_C01_001E,S0101_C01_002E,S0101_C01_020E,S0101_C01_021E,S0101_C01_023E,S0101_C01_007E,S0101_C01_008E,S0101_C01_030E,S0101_C03_001E,S0101_C03_002E,S0101_C03_020E,S0101_C03_021E,S0101_C03_023E,S0101_C03_007E,S0101_C03_008E,S0101_C03_030E,S0101_C05_001E,S0101_C05_002E,S0101_C05_020E,S0101_C05_021E,S0101_C05_023E,S0101_C05_007E,S0101_C05_008E,S0101_C05_030E
Geography,Geographic Area Name,Estimate!!Total!!Total population,Estimate!!Total!!Total population!!AGE!!Under 5 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Estimate!!Total!!Total population!!AGE!!25 to 29 years,Estimate!!Total!!Total population!!AGE!!30 to 34 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!65 years and over,Estimate!!Male!!Total population,Estimate!!Male!!Total population!!AGE!!Under 5 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Estimate!!Male!!Total population!!AGE!!25 to 29 years,Estimate!!Male!!Total population!!AGE!!30 to 34 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!65 years and over,Estimate!!Female!!Total population,Estimate!!Female!!Total population!!AGE!!Under 5 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Estimate!!Female!!Total population!!AGE!!25 to 29 years,Estimate!!Female!!Total population!!AGE!!30 to 34 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!65 years and over
0400000US55,Wisconsin,5806975,331066,719625,223630,550536,371411,364148,982799,2889783,169682,368600,114386,280071,191322,185214,448136,2917192,161384,351025,109244,270465,180089,178934,534663
0400000US56,Wyoming,581348,35436,77482,21882,53729,38816,39732,95566,296280,18190,39605,11458,28336,20435,20814,46141,285068,17246,37877,10424,25393,18381,18918,49425
0400000US72,Puerto Rico,3255642,130964,356470,123726,313188,219540,188607,667206,1546590,67252,181145,63253,159256,108874,90846,289935,1709052,63712,175325,60473,153932,110666,97761,377271
0500000US01001,"Autauga County, Alabama",55639,3235,7370,2538,4636,3659,3419,8490,27052,1727,3830,1208,2300,1789,1669,3683,28587,1508,3540,1330,2336,1870,1750,4807
0500000US01003,"Baldwin County, Alabama",218289,11960,26730,8303,15733,12284,12103,44716,105889,6082,13486,4305,7956,6064,5977,20601,112400,5878,13244,3998,7777,6220,6126,24115
0500000US01005,"Barbour County, Alabama",25026,1332,2979,911,2007,1846,1797,4777,13156,660,1462,467,1161,1150,1084,2073,11870,672,1517,444,846,696,713,2704
0500000US01007,"Bibb County, Alabama",22374,1253,2384,947,1803,1767,1481,3676,12022,626,1314,569,1029,1023,1011,1617,10352,627,1070,378,774,744,470,2059
0500000US01009,"Blount County, Alabama",57755,3505,7563,2304,4569,3583,3296,10382,28677,1844,3772,1257,2456,1801,1612,4635,29078,1661,3791,1047,2113,1782,1684,5747
0500000US01011,"Bullock County, Alabama",10173,594,1312,373,1110,619,467,1638,5578,243,722,289,588,482,330,704,4595,351,590,84,522,137,137,934
0500000US01013,"Butler County, Alabama",19726,1161,2475,765,1505,1205,1096,4092,9050,550,1338,406,769,612,474,1629,10676,611,1137,359,736,593,622,2463
0500000US01015,"Calhoun County, Alabama",114324,6662,13717,4390,10588,8013,7062,20245,54925,3348,6991,2297,5290,3953,3391,8662,59399,3314,6726,2093,5298,4060,3671,11583
0500000US01017,"Chambers County, Alabama",33427,1984,3791,1171,2710,2323,1899,6530,15928,975,1880,613,1378,1165,931,2816,17499,1009,1911,558,1332,1158,968,3714
0500000US01019,"Cherokee County, Alabama",26035,1128,2901,974,1889,1438,1117,5969,12875,609,1412,440,1104,765,521,2796,13160,519,1489,534,785,673,596,3173
0500000US01021,"Chilton County, Alabama",44147,2747,5837,1976,3434,2966,2721,7318,21520,1276,2932,1060,1816,1492,1188,3321,22627,1471,2905,916,1618,1474,1533,3997
0500000US01023,"Choctaw County, Alabama",12755,671,1388,489,944,698,751,2948,6032,311,726,275,454,345,436,1282,6723,360,662,214,490,353,315,1666
0500000US01025,"Clarke County, Alabama",23866,1350,2821,991,2001,1448,1179,4745,11349,728,1443,487,981,709,554,2075,12517,622,1378,504,1020,739,625,2670
0500000US01027,"Clay County, Alabama",13285,722,1557,456,1179,691,788,2706,6398,334,811,191,624,300,362,1198,6887,388,746,265,555,391,426,1508
0500000US01029,"Cleburne County, Alabama",14952,888,1911,571,1044,955,831,3074,7268,459,947,321,536,496,427,1298,7684,429,964,250,508,459,404,1776
0500000US01031,"Coffee County, Alabama",52238,3225,7007,2120,3950,3648,3253,8860,25815,1625,3610,1106,1981,1965,1697,3944,26423,1600,3397,1014,1969,1683,1556,4916
0500000US01033,"Colbert County, Alabama",54957,3089,6449,1962,4380,3500,3089,10900,26448,1798,3222,970,2184,1836,1617,4631,28509,1291,3227,992,2196,1664,1472,6269
0500000US01035,"Conecuh County, Alabama",12219,454,1644,449,846,808,566,2771,5951,229,933,207,531,309,373,1264,6268,225,711,242,315,499,193,1507
0500000US01037,"Coosa County, Alabama",10696,464,967,332,652,674,331,2497,5499,316,504,217,349,368,141,1179,5197,148,463,115,303,306,190,1318
0500000US01039,"Covington County, Alabama",37096,2139,4525,1404,2662,2198,2014,7857,18034,1107,2432,696,1384,1053,965,3414,19062,1032,2093,708,1278,1145,1049,4443
0500000US01041,"Crenshaw County, Alabama",13826,736,1792,556,1058,835,780,2664,6589,334,864,292,536,419,403,1150,7237,402,928,264,522,416,377,1514
0500000US01043,"Cullman County, Alabama",83345,5163,10270,3274,6554,5408,4910,15341,41079,2446,5264,1695,3380,2692,2532,6854,42266,2717,5006,1579,3174,2716,2378,8487
0500000US01045,"Dale County, Alabama",49293,3260,6191,1878,4442,3665,3312,8331,24265,1639,3196,968,2417,1974,1577,3726,25028,1621,2995,910,2025,1691,1735,4605
0500000US01047,"Dallas County, Alabama",38184,2386,5177,1651,3359,2324,2133,6868,17601,1224,2606,864,1603,1049,982,2895,20583,1162,2571,787,1756,1275,1151,3973
0500000US01049,"DeKalb County, Alabama",71430,4278,9993,3095,5758,4472,4021,12124,35307,2261,5029,1593,3013,2250,2015,5413,36123,2017,4964,1502,2745,2222,2006,6711
0500000US01051,"Elmore County, Alabama",81526,4701,10241,3229,6722,5956,5610,12641,39388,2331,5450,1606,3516,2798,2701,5584,42138,2370,4791,1623,3206,3158,2909,7057
0500000US01053,"Escambia County, Alabama",36775,2130,4691,1418,2833,2643,2418,6642,18690,1060,2387,668,1492,1467,1393,2855,18085,1070,2304,750,1341,1176,1025,3787
0500000US01055,"Etowah County, Alabama",102721,5982,12166,3958,8427,6535,5718,19538,49531,3079,6220,1992,4327,3229,2647,8455,53190,2903,5946,1966,4100,3306,3071,11083
0500000US01057,"Fayette County, Alabama",16406,922,1876,673,1363,912,898,3427,8062,453,1018,340,728,452,428,1499,8344,469,858,333,635,460,470,1928
0500000US01059,"Franklin County, Alabama",31587,2295,4270,1320,2631,2011,2116,5221,15631,1024,2202,702,1388,1051,1203,2309,15956,1271,2068,618,1243,960,913,2912
0500000US01061,"Geneva County, Alabama",26383,1448,3257,1090,1900,1432,1496,5365,12791,788,1578,531,952,704,703,2375,13592,660,1679,559,948,728,793,2990
0500000US01063,"Greene County, Alabama",8221,496,949,321,687,488,453,1834,3899,355,477,45,306,330,213,770,4322,141,472,276,381,158,240,1064
0500000US01065,"Hale County, Alabama",14754,986,1936,501,1308,889,1009,2850,7006,526,953,316,654,416,425,1248,7748,460,983,185,654,473,584,1602
0500000US01067,"Henry County, Alabama",17123,865,2022,668,1354,806,794,3859,8261,430,1028,348,684,441,412,1699,8862,435,994,320,670,365,382,2160
0500000US01069,"Houston County, Alabama",105319,6506,13481,4323,8146,7007,6704,18669,50474,3380,6989,2218,4094,3359,3191,8010,54845,3126,6492,2105,4052,3648,3513,10659
0500000US01071,"Jackson County, Alabama",51765,2653,6201,2011,3798,3073,2844,10356,25323,1455,3201,1002,1904,1581,1474,4588,26442,1198,3000,1009,1894,1492,1370,5768
0500000US01073,"Jefferson County, Alabama",658615,42294,83563,24496,58183,49305,46448,104327,311447,21645,42569,12343,28466,23841,22042,43326,347168,20649,40994,12153,29717,25464,24406,61001
0500000US01075,"Lamar County, Alabama",13854,796,1758,487,1003,755,783,2987,6842,448,929,267,586,392,329,1301,7012,348,829,220,417,363,454,1686
0500000US01077,"Lauderdale County, Alabama",92870,4748,10353,3219,10461,5937,5294,18553,44598,2458,5298,1637,4982,3006,2688,8102,48272,2290,5055,1582,5479,2931,2606,10451
0500000US01079,"Lawrence County, Alabama",32969,1775,4183,1179,2431,2220,1872,5937,15804,788,2106,541,1097,1183,898,2634,17165,987,2077,638,1334,1037,974,3303
0500000US01081,"Lee County, Alabama",163461,9501,19341,5688,29616,12518,10695,19710,80478,4823,9933,3013,15193,6405,5202,8862,82983,4678,9408,2675,14423,6113,5493,10848
0500000US01083,"Limestone County, Alabama",96921,5396,12270,4145,7136,6513,6662,14833,48326,2738,6133,1967,3633,3547,3285,6628,48595,2658,6137,2178,3503,2966,3377,8205
0500000US01085,"Lowndes County, Alabama",9936,607,1206,404,827,659,556,1882,4735,366,541,262,431,311,267,807,5201,241,665,142,396,348,289,1075
0500000US01087,"Macon County, Alabama",18437,880,1760,549,3316,1159,929,3672,8396,447,849,311,1483,542,425,1526,10041,433,911,238,1833,617,504,2146
0500000US01089,"Madison County, Alabama",367686,21560,44782,13974,34824,26506,25219,55157,179576,10944,22789,7082,17620,13505,12624,24194,188110,10616,21993,6892,17204,13001,12595,30963
0500000US01091,"Marengo County, Alabama",19138,1241,2467,739,1666,1036,1006,3779,8993,602,1231,381,736,613,452,1653,10145,639,1236,358,930,423,554,2126
0500000US01093,"Marion County, Alabama",29818,1527,3493,1194,2307,1748,1530,6325,14760,805,1881,601,1259,855,728,2785,15058,722,1612,593,1048,893,802,3540
0500000US01095,"Marshall County, Alabama",96137,6725,13159,4139,7792,6158,5648,16497,47458,3416,6798,2165,4117,3148,2898,7147,48679,3309,6361,1974,3675,3010,2750,9350
0500000US01097,"Mobile County, Alabama",413977,27182,53538,16463,36999,30427,27673,67171,197126,13690,27091,8361,18317,14745,13037,28937,216851,13492,26447,8102,18682,15682,14636,38234
0500000US01099,"Monroe County, Alabama",21006,1070,2574,917,1754,1204,954,4211,10094,650,1346,476,891,606,525,1826,10912,420,1228,441,863,598,429,2385
0500000US01101,"Montgomery County, Alabama",226451,15347,29218,8659,22478,17072,15590,34045,106729,7799,14776,4400,11194,8226,7412,14221,119722,7548,14442,4259,11284,8846,8178,19824
0500000US01103,"Morgan County, Alabama",119352,7251,15265,4869,9283,7717,7041,20840,58819,3755,7949,2475,4799,3855,3626,9023,60533,3496,7316,2394,4484,3862,3415,11817
0500000US01105,"Perry County, Alabama",9104,502,1136,291,1452,442,200,1777,4344,325,568,192,607,269,35,714,4760,177,568,99,845,173,165,1063
0500000US01107,"Pickens County, Alabama",20049,1038,2187,722,1716,1299,1142,3791,9574,561,1147,383,932,586,476,1700,10475,477,1040,339,784,713,666,2091
0500000US01109,"Pike County, Alabama",33274,1785,3498,1002,7679,2422,1516,5115,16011,945,1849,510,3646,1356,731,2269,17263,840,1649,492,4033,1066,785,2846
0500000US01111,"Randolph County, Alabama",22732,1314,2644,856,1925,1273,1189,4692,11031,603,1332,506,920,665,546,2108,11701,711,1312,350,1005,608,643,2584
0500000US01113,"Russell County, Alabama",57938,4056,7789,2136,4677,4666,4015,8281,27809,1961,3960,1092,2327,2283,1909,3484,30129,2095,3829,1044,2350,2383,2106,4797
0500000US01115,"St. Clair County, Alabama",88929,5220,11577,3332,6472,5691,5884,14901,44256,2528,6224,1872,3281,3006,2935,6599,44673,2692,5353,1460,3191,2685,2949,8302
0500000US01117,"Shelby County, Alabama",216350,12401,28967,9366,17825,12834,13544,33229,104597,6132,14730,4785,8821,6288,6396,14697,111753,6269,14237,4581,9004,6546,7148,18532
0500000US01119,"Sumter County, Alabama",12595,720,1283,422,2513,649,484,2296,5744,354,645,214,1273,192,221,943,6851,366,638,208,1240,457,263,1353
0500000US01121,"Talladega County, Alabama",80244,4289,9590,3112,7132,5270,4720,14305,38705,2228,4745,1542,3420,2656,2300,6410,41539,2061,4845,1570,3712,2614,2420,7895
