GEO_ID,NAME,S0101_C01_001E,S0101_C01_002E,S0101_C01_020E,S0101_C01_021E,S0101_C01_022E,S0101_C01_022E,S0101_C01_007E,S0101_C01_007E,S0101_C01_008E,S0101_C01_008E,,S0101_C01_028E,S0101_C02_001E,S0101_C02_002E,S0101_C02_020E,S0101_C02_021E,S0101_C02_022E,S0101_C02_022E,S0101_C02_007E,S0101_C02_007E,S0101_C02_008E,S0101_C02_008E,,S0101_C02_028E,S0101_C03_001E,S0101_C03_002E,S0101_C03_020E,S0101_C03_021E,S0101_C03_022E,S0101_C03_022E,S0101_C03_007E,S0101_C03_007E,S0101_C03_008E,S0101_C03_008E,,S0101_C03_028E
Geography,Geographic Area Name,Total!!Estimate!!Total population,Total!!Estimate!!AGE!!Under 5 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Total!!Estimate!!AGE!!25 to 29 years,Total!!Estimate!!AGE!!25 to 29 years,Total!!Estimate!!AGE!!30 to 34 years,Total!!Estimate!!AGE!!30 to 34 years,,Total!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over,Male!!Estimate!!Total population,Male!!Estimate!!AGE!!Under 5 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Male!!Estimate!!AGE!!25 to 29 years,Male!!Estimate!!AGE!!25 to 29 years,Male!!Estimate!!AGE!!30 to 34 years,Male!!Estimate!!AGE!!30 to 34 years,,Male!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over,Female!!Estimate!!Total population,Female!!Estimate!!AGE!!Under 5 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Female!!Estimate!!AGE!!25 to 29 years,Female!!Estimate!!AGE!!25 to 29 years,Female!!Estimate!!AGE!!30 to 34 years,Female!!Estimate!!AGE!!30 to 34 years,,Female!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over
0500000US39041,"Delaware County, Ohio",185433,11868,31338,8530,13351,7.2,7974,4.3,11311,6.1,,20398,91762,6240,16150,4405,6882,7.5,3762,4.1,5322,5.8,,9176,93671,5714,15268,4122,6370,6.8,4309,4.6,5995,6.4,,11241
0500000US39043,"Erie County, Ohio",76141,4035,9061,3046,6015,7.9,4188,5.5,3959,5.2,,14391,37232,2048,4617,1527,3053,8.2,2011,5.4,1936,5.2,,6590,38909,1984,4475,1517,2957,7.6,2179,5.6,2023,5.2,,7821
0500000US39045,"Fairfield County, Ohio",149112,8648,21472,7008,12525,8.4,8201,5.5,9096,6.1,,20727,74128,4448,10971,3632,6894,9.3,4299,5.8,4522,6.1,,9192,74984,4199,10573,3374,5699,7.6,3974,5.3,4574,6.1,,11548
0500000US39047,"Fayette County, Ohio",28769,1784,3798,1323,2186,7.6,1611,5.6,1697,5.9,,4661,14190,965,1972,724,1121,7.9,809,5.7,809,5.7,,2072,14579,816,1837,598,1079,7.4,787,5.4,889,6.1,,2566
0500000US39049,"Franklin County, Ohio",1215761,87535,155617,43767,130086,10.7,113066,9.3,97261,8,,128871,592278,45013,79365,22507,64558,10.9,56266,9.5,48567,8.2,,53897,623483,43020,76688,21822,65466,10.5,57360,9.2,49255,7.9,,74818
0500000US39051,"Fulton County, Ohio",42485,2592,5905,2039,3441,8.1,2167,5.1,2464,5.8,,6670,20969,1363,3103,1027,1719,8.2,1090,5.2,1237,5.9,,2999,21516,1205,2797,990,1743,8.1,1054,4.9,1226,5.7,,3679
0500000US39053,"Gallia County, Ohio",30565,1895,4065,1223,2629,8.6,1803,5.9,1712,5.6,,5135,14900,1013,2012,641,1311,8.8,939,6.3,849,5.7,,2250,15665,877,2068,580,1316,8.4,877,5.6,862,5.5,,2898
0500000US39055,"Geauga County, Ohio",93874,4788,13518,4694,7228,7.7,3755,4,3755,4,,16334,46161,2400,6878,2400,3739,8.1,1939,4.2,1846,4,,7386,47713,2433,6632,2243,3483,7.3,1813,3.8,1956,4.1,,8970
0500000US39057,"Greene County, Ohio",164192,9031,19210,6075,21673,13.2,11329,6.9,10016,6.1,,24629,80590,4755,9832,3062,10718,13.3,5883,7.3,5077,6.3,,10960,83602,4264,9363,3093,10952,13.1,5351,6.4,4849,5.8,,13711
0500000US39059,"Guernsey County, Ohio",39626,2338,5151,1704,3091,7.8,2219,5.6,2179,5.5,,6776,19475,1188,2707,896,1597,8.2,1091,5.6,1071,5.5,,3038,20151,1128,2458,826,1491,7.4,1149,5.7,1088,5.4,,3748
0500000US39061,"Hamilton County, Ohio",804194,53881,102937,31364,79615,9.9,61119,7.6,53881,6.7,,111783,386561,27059,52186,15849,40202,10.4,29765,7.7,26286,6.8,,46387,417633,26311,50951,15035,39675,9.5,31322,7.5,27564,6.6,,65568
0500000US39063,"Hancock County, Ohio",75428,4601,9655,2942,7317,9.7,4903,6.5,4752,6.3,,11691,36940,2438,4913,1515,3472,9.4,2512,6.8,2327,6.3,,5098,38488,2155,4773,1424,3849,10,2425,6.3,2425,6.3,,6581
0500000US39065,"Hardin County, Ohio",31736,1968,4126,1333,5014,15.8,1650,5.2,1650,5.2,,4602,15789,1026,2226,663,2510,15.9,805,5.1,837,5.3,,2005,15947,941,1882,654,2488,15.6,845,5.3,829,5.2,,2599
0500000US39067,"Harrison County, Ohio",15633,844,1860,610,1110,7.1,750,4.8,766,4.9,,3080,7704,424,932,316,547,7.1,362,4.7,370,4.8,,1402,7929,420,928,285,563,7.1,389,4.9,396,5,,1689
